Direction,Timestamp
1,0.000000
1,0.000331
1,0.000474
-1,0.042011
-1,0.042011
-1,0.042011
-1,0.042012
-1,0.062627
-1,0.062627
-1,0.062627
-1,0.062627
-1,0.062627
-1,0.062627
-1,0.062628
1,0.062713
1,0.063012
-1,0.102352
-1,0.102352
1,0.102409
-1,0.146076
1,0.295815
-1,0.319776
-1,0.319776
-1,0.319777
-1,0.319777
-1,0.319777
-1,0.319777
-1,0.319778
-1,0.319778
-1,0.319778
-1,0.319778
-1,0.319779
-1,0.319779
-1,0.319779
-1,0.319779
-1,0.319780
-1,0.319780
-1,0.319780
1,0.320237
-1,0.323799
-1,0.323800
-1,0.323800
-1,0.323800
1,0.323898
-1,0.324885
-1,0.324885
-1,0.324885
-1,0.324885
-1,0.324886
-1,0.324886
-1,0.324886
-1,0.324886
1,0.325023
-1,0.327878
-1,0.327878
-1,0.327878
-1,0.327879
-1,0.327879
-1,0.327879
-1,0.327879
-1,0.327879
-1,0.327880
-1,0.327880
-1,0.327880
-1,0.327880
-1,0.327881
-1,0.327881
-1,0.327881
-1,0.327881
-1,0.327881
1,0.328150
-1,0.335010
-1,0.335010
-1,0.335010
-1,0.335011
-1,0.335011
-1,0.335011
1,0.335153
-1,0.338109
-1,0.338109
-1,0.338109
-1,0.338110
-1,0.338110
-1,0.338110
1,0.338259
-1,0.349503
-1,0.349504
-1,0.349504
-1,0.349504
-1,0.349504
-1,0.349504
-1,0.349505
-1,0.349505
-1,0.349505
-1,0.349505
-1,0.349505
-1,0.349506
-1,0.349506
-1,0.349506
-1,0.349506
-1,0.349506
-1,0.349507
-1,0.349507
-1,0.349507
-1,0.349507
-1,0.349507
-1,0.349508
-1,0.349508
-1,0.349508
-1,0.349508
-1,0.349508
-1,0.349509
-1,0.349509
-1,0.349509
-1,0.349509
-1,0.349509
-1,0.349510
1,0.349978
-1,0.350117
-1,0.350117
-1,0.350117
-1,0.350117
-1,0.350118
-1,0.350118
-1,0.350118
-1,0.350118
-1,0.350119
-1,0.350119
1,0.350404
-1,0.358151
-1,0.358153
-1,0.358153
-1,0.358153
-1,0.358154
-1,0.358154
1,0.358284
-1,0.363104
-1,0.363105
-1,0.363105
-1,0.363106
-1,0.363106
-1,0.363106
-1,0.363106
-1,0.363107
1,0.363251
-1,0.369644
-1,0.369644
-1,0.369644
-1,0.369645
-1,0.369645
-1,0.369645
1,0.369780
-1,0.373923
-1,0.373924
-1,0.373924
-1,0.373924
-1,0.373924
-1,0.373925
1,0.374072
-1,0.377484
-1,0.377484
-1,0.377484
-1,0.377484
-1,0.377484
-1,0.377484
1,0.377602
-1,0.383112
-1,0.383113
-1,0.383113
-1,0.383113
-1,0.383113
-1,0.383114
-1,0.383114
-1,0.383114
-1,0.383114
-1,0.383114
-1,0.383115
-1,0.383115
-1,0.383115
-1,0.383115
-1,0.383115
-1,0.383116
-1,0.383116
-1,0.383116
-1,0.383116
-1,0.383116
-1,0.383116
-1,0.383116
-1,0.383117
-1,0.383117
-1,0.383117
-1,0.383117
-1,0.383117
-1,0.383118
-1,0.383118
-1,0.383118
-1,0.383118
-1,0.383119
1,0.383625
-1,0.383717
-1,0.383717
-1,0.383717
-1,0.383717
-1,0.383717
-1,0.383718
-1,0.383718
-1,0.383718
-1,0.383718
-1,0.383718
1,0.383857
-1,0.399825
-1,0.399825
-1,0.399826
-1,0.399826
-1,0.399826
-1,0.399826
-1,0.399826
-1,0.399826
-1,0.399826
-1,0.399826
-1,0.399827
-1,0.399827
-1,0.399827
-1,0.399827
-1,0.399828
1,0.400088
1,0.960796
-1,0.993724
-1,1.046914
-1,1.046915
-1,1.046915
-1,1.046915
-1,1.046915
-1,1.046915
-1,1.046915
1,1.047028
1,1.047246
-1,1.078503
1,1.248300
1,1.249294
1,3.045947
-1,3.076887
-1,3.096348
-1,3.096348
-1,3.096348
-1,3.096348
1,3.096410
1,3.096614
-1,3.168006
1,3.797860
-1,3.819119
-1,3.819119
-1,3.819119
-1,3.819119
-1,3.819119
-1,3.819120
-1,3.819120
-1,3.819120
1,3.819275
-1,3.820357
-1,3.820357
-1,3.820358
-1,3.820358
-1,3.820358
-1,3.820358
-1,3.820358
-1,3.820359
1,3.820486
-1,3.823618
-1,3.823619
-1,3.823619
-1,3.823619
-1,3.823619
-1,3.823619
-1,3.823619
-1,3.823620
1,3.823751
-1,3.824565
-1,3.824565
-1,3.824565
-1,3.824565
-1,3.824567
-1,3.824567
-1,3.824567
-1,3.824568
1,3.824695
-1,3.825475
-1,3.825476
-1,3.825476
-1,3.825476
-1,3.825476
1,3.825568
-1,3.827732
-1,3.827732
-1,3.827733
-1,3.827733
-1,3.827733
-1,3.827733
-1,3.827733
-1,3.827733
1,3.827857
-1,3.828807
-1,3.828807
-1,3.828807
-1,3.828808
-1,3.828808
-1,3.828808
-1,3.828808
-1,3.828808
1,3.828942
-1,3.834069
-1,3.834069
-1,3.834069
-1,3.834070
-1,3.834070
-1,3.834070
-1,3.834070
-1,3.834070
-1,3.834071
-1,3.834071
-1,3.834071
-1,3.834071
-1,3.834071
-1,3.834073
-1,3.834073
-1,3.834073
-1,3.834073
1,3.834336
-1,3.837359
-1,3.837359
-1,3.837359
-1,3.837359
-1,3.837359
-1,3.837359
-1,3.837360
-1,3.837360
-1,3.837360
-1,3.837360
-1,3.837360
-1,3.837360
-1,3.837361
1,3.837550
-1,3.838098
-1,3.838098
-1,3.838098
-1,3.838099
-1,3.838099
-1,3.838099
-1,3.838099
-1,3.838099
1,3.838232
-1,3.839619
-1,3.839619
-1,3.839619
-1,3.839619
-1,3.839620
-1,3.839620
-1,3.839620
-1,3.839620
1,3.839737
-1,3.841375
-1,3.841376
-1,3.841376
-1,3.841376
-1,3.841376
1,3.841462
-1,3.843592
-1,3.843592
-1,3.843592
-1,3.843592
-1,3.843593
-1,3.843593
-1,3.843593
-1,3.843594
1,3.843714
-1,3.844996
-1,3.844996
-1,3.844996
-1,3.844996
-1,3.844997
-1,3.844997
-1,3.844997
-1,3.844997
