Direction	Timestamp
	
	
	
1	0
	
	
	
1	0.000106
	
	
	
1	0.000296
	
	
	
1	0.000359
	
	
	
1	0.000534
	
	
	
1	0.000632
	
	
	
	
	
	
-1	1.338078
	
	
	
-1	1.338078
	
	
	
-1	1.338078
	
	
	
-1	1.338078
	
	
	
-1	1.338079
	
	
	
-1	1.338079
	
	
	
-1	1.338079
	
	
	
-1	1.338079
	
	
	
-1	1.338079
	
	
	
-1	1.33808
	
	
	
-1	1.33808
	
	
	
-1	1.33808
	
	
	
-1	1.33808
	
	
	
-1	1.338081
	
	
	
-1	1.338082
	
	
	
1	1.338806
	
	
	
-1	1.338943
	
	
	
-1	1.338943
	
	
	
-1	1.338944
	
	
	
-1	1.338944
	
	
	
-1	1.338944
	
	
	
-1	1.338944
	
	
	
-1	1.338944
	
	
	
1	1.339066
	
	
	
-1	1.342341
	
	
	
-1	1.342342
	
	
	
-1	1.342342
	
	
	
-1	1.342342
	
	
	
-1	1.342342
	
	
	
-1	1.342343
	
	
	
-1	1.342343
	
	
	
-1	1.342343
	
	
	
-1	1.342343
	
	
	
-1	1.342344
	
	
	
-1	1.342344
	
	
	
-1	1.342344
	
	
	
-1	1.342344
	
	
	
-1	1.342344
	
	
	
-1	1.342345
	
	
	
-1	1.342345
	
	
	
-1	1.342345
	
	
	
-1	1.342345
	
	
	
-1	1.342345
	
	
	
-1	1.342345
	
	
	
-1	1.342345
	
	
	
-1	1.342346
	
	
	
-1	1.342346
	
	
	
-1	1.342346
	
	
	
-1	1.342346
	
	
	
-1	1.342346
	
	
	
-1	1.342347
	
	
	
-1	1.342347
	
	
	
-1	1.342347
	
	
	
-1	1.342347
	
	
	
-1	1.342348
	
	
	
-1	1.342349
	
	
	
1	1.342892
	
	
	
-1	1.343021
	
	
	
-1	1.343022
	
	
	
-1	1.343022
	
	
	
-1	1.343022
	
	
	
-1	1.343022
	
	
	
-1	1.343022
	
	
	
-1	1.343023
	
	
	
1	1.343131
	
	
	
-1	1.346864
	
	
	
-1	1.346864
	
	
	
-1	1.346864
	
	
	
-1	1.346864
	
	
	
-1	1.346864
	
	
	
-1	1.346865
	
	
	
-1	1.346865
	
	
	
-1	1.346865
	
	
	
-1	1.346865
	
	
	
-1	1.346865
	
	
	
-1	1.346866
	
	
	
-1	1.346866
	
	
	
-1	1.346866
	
	
	
-1	1.346866
	
	
	
-1	1.346866
	
	
	
-1	1.346867
	
	
	
-1	1.346867
	
	
	
-1	1.346867
	
	
	
-1	1.346867
	
	
	
-1	1.346867
	
	
	
-1	1.346868
	
	
	
-1	1.346868
	
	
	
-1	1.346868
	
	
	
-1	1.346868
	
	
	
-1	1.346869
	
	
	
-1	1.346869
	
	
	
-1	1.346869
	
	
	
-1	1.346869
	
	
	
-1	1.346869
	
	
	
-1	1.34687
	
	
	
-1	1.34687
	
	
	
-1	1.34687
	
	
	
1	1.347567
	
	
	
-1	1.347662
	
	
	
-1	1.347662
	
	
	
-1	1.347662
	
	
	
-1	1.347663
	
	
	
-1	1.347663
	
	
	
-1	1.347663
	
	
	
-1	1.347663
	
	
	
1	1.34778
	
	
	
-1	1.351945
	
	
	
-1	1.351945
	
	
	
-1	1.351945
